scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,asg,acc,acs,am,ad,tct,tsg,tfc,wf,wd,who,lnk,fpu,dt,fs,dn,ds,ls,dr,sd,sr,die,tip,dc,all,co,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
Zmb,2023inmish,qm,5,r3,4926,[47],[],0,0,1,e,[7.8],[14],0,0,0,,0,0,25.6,x,1,1,0,x,0,2,1,0,0,0,,,,,,,,,
LPM,2023inmish,qm,5,r2,3936,[47],[2],1,0,0,x,[],[4],0,0,0,,0,,0,e,1,0,0,x,1,3,0,0,0,0,Bad pickup,,,,,,,,
AMB,2023inmish,qm,5,b2,862,[38],[],0,1,1,e,[],[],0,1,0,,0,0,0,e,2,1,0,b,1,3,0,0,1,0,Only scored by pushing pieces ,,,,,,,,
SGG,2023inmish,qm,5,b1,9119,[63],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,2,-1,0,x,0,1,1,0,0,0,,,,,,,,,
WC,2023inmish,qm,5,b3,71,[26],[],1,0,1,x,"[9.5,1.5,11.5,6.8,1.4,19.3,24.3,5.9,17.6]","[5,35,8,14,34,11]",0,0,0,,0,2,0,e,2,2,0,x,1,4,0,0,0,1,Went for cube,,,,,,,,
DNO,2023inmish,qm,5,b1,9119,[62],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,2,-1,0,b,0,1,1,0,0,0,Robot stalled,,,,,,,,
Mdm,2023inmish,qm,5,b2,862,[37],[],0,0,1,e,[],"[28,23,24]",0,1,0,,0,0,4.2,e,2,1,2,x,1,3,0,0,0,0,,,,,,,,,
LJP,2023inmish,qm,5,b3,71,[71],[],0,0,1,x,[16.1],"[5,8,35]",0,0,0,,1,2,3.5,e,2,2,0,x,0,5,0,0,0,1,Only cubes in match but wears to be capable of con,,,,,,,,
AMK,2022inmish,qm,5,b1,9119,[62],[],0,0,0,x,[],[],0,0,0,,0,x,0,x,2,x,0,x,0,3,1,0,0,0,The robot would not start,,,,,,,,
JAM,2023inmish,qm,5,r2,3936,[35],[2],0,0,1,x,[],[4],0,0,0,,0,1,0,e,1,1,0,x,0,3,0,0,0,0,Claw motor stopped working after a hit with 4926,,,,,,,,
EAR,2023inmish,qm,5,r3,4926,[59],[],0,1,0,e,"[7.7,26.1]",[14],0,0,0,,0,1,0,x,1,1,0,a,0,3,1,0,0,0,Possible alliance? Undefined,,,,,,,,
